Profile URL,Name,Price,BHKS,WhyBuy,Amenities,Swimming Pool,Gymnasium,Status,Price per Sqft,Launch Date,Possession by,Total Towers,Total Units,Project Type,Property Type,Project Area,Occupancy Certificate,Commencement Certificate,Full Address,Pincode,About Developer,Specifications,Place,1 BHK,2 BHK,3 BHK,4 BHK,5 BHK,BHK Above 5
https://www.magicbricks.com/samruddha-jeevan-sankul-pisoli-pune-pdpid-4d4235303139343232,Samruddha Jeevan Sankul,Call For Price,2 BHKS,data not available in site,",Club House,Power Back Up,Lift,Security,Park,Reserved Parking,Visitor Parking,Intercom Facility,Kids Club,Kids Play Area,Flower Gardens,Air Conditioned",Detail not provided,Detail not provided,Ready To Move,data not available in site,12-Sep,14-May,1,64,data not available in site,data not available in site,90000 Sq-ft,Yes,Yes,"Opp Undri Annex Road and Kumar Palm Meadows, Pisoli, Pune, Maharashtra",411028,Prime Properties And Jeevan Jyoti Construction Pvt. Ltd.,data not available in site, Pune,No,yes,No,No,No,No
https://www.magicbricks.com/venkatesh-classic-hadapsar-pune-pdpid-4d4235303836303530,Venkatesh Classic,Call For Price,"1, 2 BHKS","Why Buy in this Project?
ConnectivityManjari 4 km | 20 min
Magarpatta City 3 km | 15 min
Kharadi 6 km | 30 min
InfrastructureNational Highwa. 1 km | 10 min
Amanora Town Ce. 1 km | 10 min
Rosary School 5 km | 20 min
Noble Hospital 5 km | 20 min
Indira Group of. 5 km | 20 min
NeighborhoodWanwadi 3 km | 15 min
Godbole Vasti 3 km | 15 min
Uday Baug 3 km | 15 min
Project Highlights :Timely possession.
Excellent Construction Quality
Project USP :Welcome to vibrant living
Well planned lifestyle places
A temple, senior sit out, yoga area, gym & more

+14 more",",Club House,Jogging and Strolling Track,Cycling & Jogging Track,Power Back Up,Swimming Pool,Lift,Reserved Parking,Kids Play Area,AEROBICS ROOM,Flower Gardens,Rain Water Harvesting,RO Water System",Yes,Detail not provided,Ready To Move,data not available in site,16-Jul,19-Mar,4,350,data not available in site,data not available in site,4 Acre,No,Yes,"Handewadi, Pune.",411028,"OM Shriniwas Developers
                      	


                                Years of Experience - 9",FlooringVitrified flooring in all rooms and anti - skid flooring for terrace and bathroom.KitchenGranite kitchen platform with stainless still sink.Desiner wall tiles up to lintel level.BathroomBranded sanitary ware.Concealed plumbing with branded C.P. fittings.Designer wall tiles up to lintel level.Doors and WindowsWooden safety door.Laminated main entrance door.Water proof flush doors in every room with elegant handles and locks.Powder coated aluminum sliding windows with mosquito mesh.Granite orLaminateddoor frames for bathrooms and wooden door frames for main door and bedrooms.Walls and PaintsGypsum finished internal walls.Premium quality paint on internal and plaster on external walls.ElectrificationConcealed FR copper wiring.Branded electrical fittings.Provision for inverter.Provision for AC in master bedroom.Provision for Water Purifier and exhaust fan.Provision for Washing Machine in dry balcony.TV and Telephone point in living and master bedroom.,Handewadi,yes,yes,No,No,No,No
https://www.magicbricks.com/guru-dakshina-apartment-wagholi-pune-pdpid-4d4235313230373637,Guru Dakshina Apartment,Call For Price,2 BHKS,data not available in site,data not available in site,Detail not provided,Detail not provided,Ready To Move,data not available in site,data not available in site,data not available in site,data not available in site,data not available in site,data not available in site,data not available in site,data not available in site,No,No,"Wagholi, Pune.",412207,data not available in site,data not available in site,Wagholi,No,yes,No,No,No,No
https://www.magicbricks.com/jcd-park-society-yerwada-pune-commerzone-it-park-pune-pdpid-4d4235323039343639,JCD Park Society Yerwada Pune,Call For Price,2 BHKS,data not available in site,data not available in site,Detail not provided,Detail not provided,Ready To Move,data not available in site,data not available in site,data not available in site,data not available in site,data not available in site,data not available in site,data not available in site,data not available in site,data not available in site,data not available in site,"Chavan Nagar, Pratik Nagar, Mohanwadi, Yerawada, Pune, Maharashtra ",411006,data not available in site,data not available in site, Yerawada,No,yes,No,No,No,No
https://www.magicbricks.com/kumar-prithvi-kondhwa-pune-pdpid-4d4235303231303739,Kumar Prithvi,Call For Price,2 BHKS,data not available in site,",Club House,Jogging and Strolling Track,Cycling & Jogging Track,Power Back Up,Swimming Pool,Lift,Security,Park,Reserved Parking,Service/Goods Lift,Visitor Parking,Maintenance Staff",Yes,Detail not provided,Ready To Move,data not available in site,10-Jan,18-Jun,1,102,data not available in site,data not available in site,2 Acre,No,Yes,"Kumar Prithvi Phase 1At Kondhwa Khurd , Opp Kumar Prithvi Phase 2 , Near Golden Leaf Society , Kondh",411048,Kumar Properties,data not available in site, Near Golden Leaf Society ,No,yes,No,No,No,No
https://www.magicbricks.com/kaasp-countyy-wakad-pune-pdpid-4d4235303034323233,Kaasp Countyy,Call For Price,2 BHKS,data not available in site,data not available in site,Detail not provided,Detail not provided,Ready To Move,data not available in site,9-May,11-Nov,4,114,data not available in site,data not available in site,data not available in site,No,No,data not available in site,411057,"B.U. Bhandari Landmarks
                      	


                                Years of Experience - 32",Vitrified flooring in entire flatGranite kitchen with SS sink7' high glazed tiles in toiletsC.P. fittings of marc Sanitary ware of parry warePowder coated aluminum windows with marble sillMS safety grillsWooden flush door with wooden frame and good quality fittingsGreen marble frames for toiletGenerator back-up for one light point and one fan point in living room,data not available in site,No,yes,No,No,No,No
https://www.magicbricks.com/mehta-tower-khadki-pune-pdpid-4d4235303837313238,Mehta Tower,Call For Price,1 BHKS,data not available in site,",Club House,Cycling & Jogging Track,Swimming Pool,Security,Reserved Parking,Service/Goods Lift,Visitor Parking,Gymnasium,Kids Play Area,DTH Television Facility,Flower Gardens,Water Storage",Yes,Yes,Ready To Move,data not available in site,2-Aug,data not available in site,4,134,data not available in site,data not available in site,2 Acre,No,No,"Mehta Tower, Near Ambedkar Hospital (Cantonment Hospital), Kasamali Jumbo Marg, Khadki, Pune, Mahara",411003,Mehta Builders Pvt. Ltd.,data not available in site, Khadki,yes,No,No,No,No,No
https://www.magicbricks.com/the-greenwoods-chs-dhayari-phata-road-pune-pdpid-4d4235303034393032,The Greenwoods CHS,Call For Price,data not available in site,data not available in site,data not available in site,Detail not provided,Detail not provided,Under Construction,data not available in site,data not available in site,data not available in site,data not available in site,data not available in site,data not available in site,data not available in site,data not available in site,No,No,data not available in site,411041,"Cooperative Group Housing Society (CGHS)
                      	


                                Years of Experience - 8",data not available in site,data not available in site,No,No,No,No,No,No
https://www.magicbricks.com/vakratunda-society-dhayari-pune-pdpid-4d4235303830313435,Vakratunda Society,Call For Price,"1, 2 BHKS",data not available in site,",Power Back Up,Security,Reserved Parking,Visitor Parking,DTH Television Facility,Laundry Service,Rain Water Harvesting,Water Storage,Waste Disposal,Fire Fighting Equipment No,Swimming Pool No,Club House",Yes,Detail not provided,Ready To Move,data not available in site,3-May,5-Nov,2,50,data not available in site,data not available in site,1 Acre,No,No,"S. No. 5/25, Benkarwasti, Dhayari, Pune- 411041.",411041,Yograj Developers,data not available in site, Dhayari,yes,yes,No,No,No,No
https://www.magicbricks.com/kohinoor-vayona-pimpri-pune-pdpid-4d4235303033353733,Kohinoor Vayona,Call For Price,3 BHKS,data not available in site,data not available in site,Detail not provided,Detail not provided,Ready To Move,data not available in site,data not available in site,data not available in site,data not available in site,data not available in site,data not available in site,data not available in site,data not available in site,No,No,data not available in site,411018,Kohinoor Group,data not available in site,data not available in site,No,No,yes,No,No,No
